Username,Comment
@hoyyosoyfeliz,"tanto el ATM como el FCB JAMÁS ganarán la copa de Europa, unos porque son unos mafiosos y los otros no la gararán más porque son unos corruptos , ya no tienen al protegido enano chutado argentino por la prensa y el Karma les tiene que hacer pagar esa forma de actuar, que ganen en su liga cosas, no lo dudo porque tienen comprados tanto el estamento arbitral como la prensa, pero Europa.... hastá ahí han llegado. Ayer ganó el deporte y el futbol.... 11 años llevan ya sin catar una final y van a seguir sumando año tras año... y esto es un golpe a las arcas del fcb importante con un solar que están construyendo y sin ese dinero la deuda aumenta y aumentará..... y sin mundialito de clubs, menos ingreso aún...."
@ElvinValle-gl6qf,Los 11 de defensa el inter parese equopillo de segunda devision
@leegary763,wata shit highlight from the stands lmao
@URIELERROR,Inter feoo
@RendiRustadianto,Final inter milan vs Paris Saint-Germain
@Two-brothers-m7w,Barca keeper must change
@LOST_SOUL-q7w,Bro TF i was getting goosebumps till the end of the match
@themagicalstriker,Inter has prooved CLASS matters
@shamimh9596,Love u Inter ❤❤
@Kubik-p3n,INTER YES
@shivchouhan1251,Thanks so much for upload the vod
@jitendrabhansingh,What a game!
@Fifaboypendu,As a Man city fan congratulations Inter milan I am so happy 🎉
@c111samakalam5,Varcelona got humiliated
@regurgitador4016,"Cubarsí en el 4º gol del Inter: ""Estúpida mi pelo idiotaaaa, no apuntes a mi cara con ese balóoon que me desmayo..."""
@Suman00555,Dreaming 6 ucl😆😆😆 hala madrid❤
@AnthonyAffrim,The commentator is from Barcelona😂😂😂
@ThatOneLilFishy,Bro the last minute equalizer was a foul dumfries kicked Eric Garcia down to get the ball
@Maniaco1612,This and the Man U vs Lyonnais are the two best matches of the year. Holy s*it man… GJ Inter!
@suleymanthebarcafan,We gave everything...
@marcusbrsp,"Ok, so PSG will finally win the Champions League this year."
@marcusbrsp,Cubarsí e Barcelona tomaram Pau.
@AliRudjjf,He said varcelona 🏳️‍🌈
@Naren-o6v,Im sure barca never win in the UCL.write down..barca fans🤣🤣🤣😋😋
@TeophilBuilding,Sjapat kuon nusu final ya uefa mbovu namn hiii
@edwinotega5548,The last goal for inter was intentional he knew it was going in. Congratulations inter
